seed,n_folds,mean_best_val_total,std_best_val_total,min_best_val_total,max_best_val_total,mean_best_epoch
42,5,3.8880922280825105,0.18426833508431817,3.6468004630162167,4.085069729731633,10.0
123,5,4.022827386856079,0.4216121696371558,3.313828945159912,4.362293977003831,9.6
777,5,3.7721415483034577,0.21530565716964978,3.6074731533343973,4.132152850811298,10.0
ALL,15,3.8943537210806825,0.2915078030047184,3.313828945159912,4.362293977003831,9.866666666666667
