epoch,stage,lr,score,train_total,val_total,grad_norm_before,grad_norm_after,pred_region_unique,binary_prob_mean,boundary_prob_mean,inter_prob_mean,curve_prob_mean
1,binary_foundation,7e-05,-12.819399058818817,12.975314363520196,12.819399058818817,3.894931605565694,0.8999997565998705,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",0.3653274178504944,0.5847848057746887,0.5033666491508484,0.463252454996109
2,binary_foundation,7e-05,-13.427690088748932,12.179428060004051,13.427690088748932,inf,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24]",0.4879087209701538,0.6107866168022156,0.4466501474380493,0.5393691062927246
3,binary_foundation,7e-05,-12.537826418876648,11.826251679278435,12.537826418876648,7.4061754897511225,0.8999998565659878,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24]",0.44190651178359985,0.6043317914009094,0.46392810344696045,0.5171757936477661
4,binary_foundation,7e-05,-11.868030428886414,11.498920339219113,11.868030428886414,7.08378659096275,0.8999998537587223,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24]",0.3752257823944092,0.5935108661651611,0.4948504567146301,0.48455142974853516
5,binary_foundation,7e-05,-11.652406573295593,11.28407957198772,11.652406573295593,7.461336531820762,0.8999998689339607,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24]",0.35606610774993896,0.585078775882721,0.5008581876754761,0.4753533601760864
6,binary_foundation,7e-05,-11.484820187091827,11.061535409156312,11.484820187091827,7.543319476464856,0.899999865321729,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 24]",0.3605315387248993,0.5806490182876587,0.4942179024219513,0.47843432426452637
7,binary_foundation,7e-05,-11.23573887348175,10.869109397238873,11.23573887348175,7.974561788206582,0.899999859096748,"[0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 24]",0.34778350591659546,0.5709144473075867,0.49479547142982483,0.4756784439086914
8,binary_foundation,7e-05,-11.641202330589294,10.66933453336675,11.641202330589294,7.58612110552939,0.8999998657167777,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 16, 18, 19, 20, 21, 24]",0.39727911353111267,0.5629059672355652,0.47002217173576355,0.5081498026847839
9,binary_foundation,7e-05,-11.056580722332,10.436793895477944,11.056580722332,7.961563954981829,0.8999998698342074,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 14, 18, 19, 20, 21, 24]",0.35961607098579407,0.5518284440040588,0.48302993178367615,0.49138107895851135
10,binary_foundation,7e-05,-10.774069845676422,10.264830528421605,10.774069845676422,8.032915651609075,0.8999998536245838,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 14, 18, 19, 20, 21, 24]",0.34172767400741577,0.5435565114021301,0.48904433846473694,0.4832450747489929
11,binary_foundation,7e-05,-10.773828864097595,10.039484328411994,10.773828864097595,8.485248862398596,0.8999998592275368,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 14, 16, 17, 18, 19, 20, 21, 22, 24]",0.3486308455467224,0.5345872640609741,0.48326680064201355,0.489269495010376
12,binary_foundation,7e-05,-10.68623411655426,9.866669269318276,10.68623411655426,8.124104256030742,0.8999998736153102,"[0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 14, 16, 17, 18, 19, 20, 21, 22, 24]",0.34744155406951904,0.5265868902206421,0.47878602147102356,0.4924410581588745
