epoch,stage,lr,train_loss,train_bce_bin,train_dice_bin_loss,train_bce_curve,train_dice_curve_loss,train_curve_outside,train_binary_dice,train_curve_dice,val_loss,val_bce_bin,val_dice_bin_loss,val_bce_curve,val_dice_curve_loss,val_curve_outside,val_binary_dice,val_curve_dice
1,binary_only_strong,0.001,1.2010942603412427,0.23079730335034823,0.3062116691940709,0.12716065190340342,0.8318210997079548,0.03685191587397927,0.693788330805929,0.16817889793923027,1.3041474521160126,0.29323310777544975,0.3068159371614456,0.17159660905599594,0.823952242732048,0.03820568881928921,0.6931840628385544,0.17604776844382286
2,binary_only_strong,0.001,1.1349675812219318,0.21919294368279607,0.2878123678659138,0.1180056200215691,0.8166814979753996,0.029703569745546894,0.7121876321340862,0.18331850202460037,1.2532812058925629,0.2643348462879658,0.30635876953601837,0.14437129348516464,0.8089437335729599,0.034857249818742275,0.6936412304639816,0.1910562552511692
3,binary_only_strong,0.001,1.109096109867096,0.22098893005596965,0.2770214049439681,0.11176547957094092,0.803716916786997,0.023512237558239384,0.7229785950560319,0.19628308791863291,1.2520334869623184,0.24866138026118279,0.31772802770137787,0.11026002280414104,0.8130086660385132,0.02407059771940112,0.6822719722986221,0.18699133768677711
4,binary_only_strong,0.001,1.0864430916936774,0.22019819836867482,0.2689650121488069,0.11001113253204446,0.790598634042238,0.020247531368544226,0.731034987851193,0.20940136203640386,1.273182064294815,0.2768426090478897,0.30867433547973633,0.09178717248141766,0.8178823590278625,0.015189298894256353,0.6913256645202637,0.18211765214800835
5,binary_only_strong,0.001,1.0853563954955654,0.2176275449363809,0.2707918160840085,0.10641395457481083,0.7846791242298327,0.01731663908025152,0.7292081839159915,0.2153208718488091,1.6007004380226135,0.3020785562694073,0.4247311055660248,0.0833586361259222,0.919265627861023,0.009627848165109754,0.5752688944339752,0.08073437307029963
6,binary_only_strong,0.001,1.0741885241709257,0.22307212415494418,0.26298116069090993,0.11164754080144983,0.7737233481909099,0.015817914207122828,0.7370188393090901,0.22627664631918856,1.3298875987529755,0.28933166339993477,0.3247271925210953,0.09517675265669823,0.802931472659111,0.012798006646335125,0.6752728074789047,0.19706853479146957
7,binary_only_strong,0.001,1.0549066694159257,0.21796317320120961,0.2587191964450635,0.10001963063290245,0.7768868553011041,0.01274906750768423,0.7412808035549364,0.2231131407775377,1.3784368634223938,0.2915227562189102,0.3430192470550537,0.0953497365117073,0.8153660744428635,0.012250155676156282,0.6569807529449463,0.18463391810655594
8,binary_only_strong,0.001,1.053888179753956,0.21639374094574074,0.259983103526266,0.10156448891288355,0.7620682528144435,0.012068310164307294,0.740016896473734,0.23793174953837143,1.3722755908966064,0.31110329180955887,0.32692860066890717,0.1544027328491211,0.7739840447902679,0.023815355263650417,0.6730713993310928,0.22601593285799026
9,binary_only_strong,0.0005,1.0378961155289097,0.21455517960222145,0.2550109311154014,0.1025394283627209,0.7521135367845234,0.011216143783377973,0.7449890688845986,0.24788646635256315,1.3084120452404022,0.3172219693660736,0.2979022413492203,0.08734434843063354,0.7996690422296524,0.007786725996993482,0.7020977586507797,0.2003309689462185
10,binary_only_strong,0.0005,0.9843052625656128,0.19796931704408244,0.24425170923534192,0.09988217918496382,0.7451694419509486,0.009195903904343905,0.7557482907646581,0.254830558833323,1.2928538918495178,0.28902028873562813,0.3102433830499649,0.12498823180794716,0.763864204287529,0.016007333295419812,0.6897566169500351,0.2361357994377613
11,binary_only_strong,0.0005,0.9759725112664072,0.19839831990631004,0.24059857192792392,0.09820032904022619,0.7430029856531244,0.009441365071229245,0.7594014280720761,0.2569970119940607,1.356824368238449,0.29961926490068436,0.32895156741142273,0.08449474535882473,0.8206682205200195,0.008291086065582931,0.6710484325885773,0.17933179438114166
12,binary_only_strong,0.0005,0.9495308963876021,0.18584617305743067,0.2382294598378633,0.10259723937825153,0.7357470361809981,0.008608661641023661,0.7617705401621366,0.2642529630347302,1.447779893875122,0.3611937686800957,0.32550929486751556,0.1654122732579708,0.7639054358005524,0.01993177132681012,0.6744907051324844,0.23609454557299614
13,binary_only_strong,0.0005,0.954797763573496,0.19280228410896502,0.23587499480498464,0.09889989150197882,0.7352242156078941,0.008733442396317658,0.7641250051950154,0.26477578360783427,1.3885411322116852,0.3181913159787655,0.3307081609964371,0.09492975287139416,0.792272612452507,0.008808564045466483,0.6692918390035629,0.20772738382220268
14,binary_only_strong,0.0005,0.9456103099019904,0.19264544899526395,0.23246386490370097,0.10000288329626385,0.7294420129374454,0.007599646666724431,0.767536135096299,0.27055799176818446,1.4187976717948914,0.3276599794626236,0.3369421064853668,0.10922720469534397,0.7792119085788727,0.012490232940763235,0.6630578935146332,0.22078809887170792
15,binary_only_strong,0.00025,0.9211772711653459,0.1778711539350058,0.2321324630787498,0.09933939380081076,0.7296439158289056,0.007670543548700057,0.7678675369212502,0.27035608730818095,1.415619820356369,0.33389104902744293,0.3314576596021652,0.12193924374878407,0.7692881673574448,0.014349718112498522,0.6685423403978348,0.23071181774139404
16,binary_only_strong,0.00025,0.8913741645060087,0.1791699905144541,0.21950280666351318,0.09808620536013653,0.7156434749302111,0.007133816246335444,0.7804971933364868,0.284356531343962,1.4369861483573914,0.338105708360672,0.33756209909915924,0.09622512944042683,0.7941260039806366,0.008220276213251054,0.6624379009008408,0.2058739922940731
17,binary_only_strong,0.00025,0.8877385007707697,0.1714631703339125,0.22308362157721268,0.09692717892558951,0.7183316349983215,0.006585893503047134,0.7769163784227873,0.28166835559041875,1.4847305119037628,0.36846134066581726,0.33755044639110565,0.12157710269093513,0.7639040648937225,0.013010262977331877,0.6624495536088943,0.23609593510627747
18,binary_only_strong,0.00025,0.8593042022303531,0.16330796401751668,0.21674401509134392,0.09794681911405764,0.715980589389801,0.006651973094497072,0.7832559849086561,0.2840194153158288,1.5208313167095184,0.38470085710287094,0.3416547030210495,0.1051961351186037,0.7827227115631104,0.009032531757839024,0.6583452969789505,0.21727728471159935
19,binary_only_strong,0.00025,0.8533769783220793,0.1631079688668251,0.21472549124767906,0.09646229289079968,0.7099876748888116,0.006205715410607426,0.785274508752321,0.2900123196212869,1.4721165299415588,0.35287676751613617,0.3424064368009567,0.1121741309762001,0.7769564539194107,0.012169405119493604,0.6575935631990433,0.2230435349047184
20,binary_only_strong,0.00025,0.8494860718124791,0.16320288769508662,0.2130251307236521,0.09707348911385787,0.7103918226141679,0.006041336302204351,0.786974869276348,0.2896081750330172,1.5760221183300018,0.39704905450344086,0.3559025377035141,0.10145334899425507,0.7991899251937866,0.007929119048640132,0.6440974622964859,0.20081008225679398
21,binary_only_strong,0.000125,0.8475409714799178,0.15777823015263207,0.215760516492944,0.09936358348319405,0.7105289289825841,0.006247267788766246,0.784239483507056,0.28947106944887263,1.5380998849868774,0.39192695915699005,0.3435610383749008,0.14003094471991062,0.762897863984108,0.01589428447186947,0.6564389616250992,0.23710214346647263
22,binary_only_strong,0.000125,0.8293308113750658,0.15740052571422175,0.20875898474141172,0.09575653468307696,0.7058771880049455,0.005464125277572556,0.7912410152585883,0.29412281121078293,1.612549751996994,0.4119455888867378,0.36119480431079865,0.10708275809884071,0.7932407557964325,0.009455024730414152,0.6388051956892014,0.2067592442035675
23,binary_only_strong,0.000125,0.8118908593529149,0.14863776807722293,0.20735160300606176,0.09662680171037975,0.7049844108129802,0.00548392727873043,0.7926483969939383,0.2950155938926496,1.6256752014160156,0.41498368978500366,0.36469487845897675,0.11464847810566425,0.7847079634666443,0.011151587823405862,0.6353051215410233,0.2152920365333557
24,binary_only_strong,0.000125,0.8013607828240645,0.1480723309673761,0.20336421853617617,0.09677577920650181,0.7048447790898775,0.005238199300181709,0.7966357814638239,0.2951552279685673,1.6181336641311646,0.41904041916131973,0.35888129472732544,0.10634536668658257,0.7937746644020081,0.008295626379549503,0.6411187052726746,0.20622533559799194
25,binary_only_strong,0.000125,0.797186111149035,0.14441090743792684,0.20412164299111618,0.09514840496213813,0.7044904043799952,0.00515108773680894,0.7958783570088839,0.2955095964042764,1.6423421502113342,0.4387745261192322,0.3558105230331421,0.12447097711265087,0.7760703861713409,0.012634986778721213,0.6441894769668579,0.22392961755394936
26,binary_plus_curve,0.000125,1.2879962607433921,0.14326021036035136,0.20203417539596558,0.09555273110929288,0.6908832161050094,0.005259572270963537,0.7979658246040344,0.30911678389499064,2.000440001487732,0.42810001224279404,0.3592265099287033,0.11338416673243046,0.7634302526712418,0.010814337292686105,0.6407734900712967,0.23656973987817764
27,binary_plus_curve,6.25e-05,1.2763515020671643,0.14798702064313388,0.2017958164215088,0.09006842657139427,0.6777048236445377,0.004735922624700163,0.7982041835784912,0.32229517321837575,1.9988327026367188,0.4175257459282875,0.36818546056747437,0.10667105205357075,0.7640245109796524,0.008801037445664406,0.6318145394325256,0.2359754852950573
