epoch,stage,lr,train_loss,val_loss,train_binary_bce,val_binary_bce,train_binary_dice,val_binary_dice,train_boundary_bce,val_boundary_bce,train_boundary_dice,val_boundary_dice,train_boundary_focal,val_boundary_focal,train_inter_bce,val_inter_bce,train_inter_dice,val_inter_dice,train_inter_focal,val_inter_focal,train_reg_binary_bridge_from_structure,val_reg_binary_bridge_from_structure,train_reg_binary_bridge_required,val_reg_binary_bridge_required,train_reg_binary_far_from_target,val_reg_binary_far_from_target,train_reg_binary_internal_holes,val_reg_binary_internal_holes,train_reg_binary_missing_inside,val_reg_binary_missing_inside,train_reg_binary_required,val_reg_binary_required,train_reg_binary_separation_closure,val_reg_binary_separation_closure,train_reg_binary_soft_closure,val_reg_binary_soft_closure,train_reg_binary_tv,val_reg_binary_tv,train_reg_boundary_outside,val_reg_boundary_outside,train_reg_boundary_tv,val_reg_boundary_tv,train_reg_inter_outside,val_reg_inter_outside,train_reg_inter_tv,val_reg_inter_tv
1,boundary_rescue_strong,1.4946774233872725e-05,6.216710834503174,6.26095449924469,0.8149595761299133,0.8160233497619629,0.29040504932403566,0.2880130410194397,0.6762297582626343,0.6809847205877304,0.4765038084983826,0.4856157451868057,0.07715172559022904,0.07910949736833572,0.6178906297683716,0.619150385260582,0.33177699089050294,0.3333844691514969,0.05426337465643883,0.054663185961544514,0.04845268726348877,0.047390262596309185,0.16081489264965057,0.15914209559559822,0.028067374527454378,0.029787996783852577,0.00018863178323954343,0.0002529627199692186,0.00025678436097223314,0.00037458691076608375,0.13357246398925782,0.13476451113820076,0.011030246652662754,0.010841076727956533,0.0037606774643063547,0.0036997455172240734,0.01130279541015625,0.010892868041992188,0.22452460885047912,0.22017699480056763,0.03270263671875,0.03182220458984375,0.27799705028533933,0.2722457945346832,0.02797607421875,0.027484893798828125
2,boundary_rescue_strong,1.4787936337618259e-05,6.217345714569092,6.261509895324707,0.8127383041381836,0.8129865676164627,0.2906400370597839,0.28840309381484985,0.676081759929657,0.6812734603881836,0.4768920135498047,0.4853910207748413,0.07713898986577988,0.07934623025357723,0.618033561706543,0.6193923205137253,0.3318205547332764,0.3331151604652405,0.054199512749910354,0.05483457166701555,0.048917101323604585,0.04828318487852812,0.1620076060295105,0.16087417677044868,0.027978735342621804,0.02961373794823885,0.00019160375581122935,0.00026410622012917884,0.00025920984509866687,0.00039576586277689785,0.13468861758708953,0.13644709438085556,0.01117306899279356,0.010992893017828465,0.0038257202506065367,0.0037573231966234744,0.01147491455078125,0.011053085327148438,0.22423851430416109,0.22038837149739265,0.0327349853515625,0.03185272216796875,0.2778761625289917,0.272664912045002,0.0280560302734375,0.02741241455078125
3,boundary_rescue_strong,1.4525991279745697e-05,6.216041603088379,6.260916590690613,0.811324725151062,0.811223104596138,0.29086406230926515,0.288580060005188,0.6755065107345581,0.6801528632640839,0.47714048624038696,0.486711710691452,0.07698479056358337,0.07890730164945126,0.6181340312957764,0.6187072098255157,0.33207682132720945,0.3345245271921158,0.054173423051834105,0.054595671594142914,0.049224559515714646,0.04889582935720682,0.16285368382930757,0.16195673868060112,0.027904131338000297,0.02938867313787341,0.00019056707329582424,0.00027570714883040637,0.00025642936350777745,0.00040772484499029815,0.13547518849372864,0.13747254759073257,0.01130498893558979,0.011382212862372398,0.003873236943036318,0.0038963565602898598,0.0116082763671875,0.011379241943359375,0.22382458209991454,0.21887628361582756,0.032838134765625,0.03244781494140625,0.2774910962581634,0.27111008763313293,0.0281951904296875,0.0279541015625
4,boundary_rescue_strong,1.416507009029608e-05,6.217225093841552,6.26258385181427,0.8091194009780884,0.8103445768356323,0.29110119104385374,0.28889861702919006,0.6755890274047851,0.6816245466470718,0.47743988037109375,0.48493677377700806,0.07705184727907181,0.07957337237894535,0.6180416369438171,0.6201519072055817,0.3323264193534851,0.3324591666460037,0.054241445064544674,0.055131212808191776,0.04988020554184914,0.04878398776054382,0.1640945690870285,0.1622762382030487,0.02772925153374672,0.029545383993536234,0.00019849797477945687,0.00026811041971086524,0.00026976503548212347,0.00040191640437114984,0.1366726851463318,0.13776053860783577,0.011501270681619644,0.011048555374145508,0.003957905797287822,0.0038299334119074047,0.01177490234375,0.0111846923828125,0.22356307804584502,0.22111233696341515,0.0329296875,0.03179931640625,0.27738534927368164,0.27360042929649353,0.0282855224609375,0.02754974365234375
5,boundary_rescue_strong,1.3710864712030897e-05,6.215819721221924,6.261721849441528,0.8090102767944336,0.8107840865850449,0.2911370730400085,0.28874504566192627,0.6754314231872559,0.6808590888977051,0.4775297951698303,0.48605477809906006,0.07695134371519088,0.0791242029517889,0.6175077247619629,0.6195349842309952,0.33225441455841065,0.33357764780521393,0.05410596624016762,0.054698470048606396,0.04980619251728058,0.04866339452564716,0.16404765725135803,0.16207513213157654,0.027690566033124923,0.02958468347787857,0.0001997494249371812,0.0002622540996526368,0.0002767061354825273,0.00038907976704649627,0.1365822124481201,0.1375775747001171,0.011596763767302036,0.011118186870589852,0.0039883931167423725,0.003834194503724575,0.01183074951171875,0.011241912841796875,0.22338052749633788,0.2196427397429943,0.033018798828125,0.03197479248046875,0.2771322214603424,0.27191677689552307,0.028338623046875,0.027637481689453125
6,boundary_rescue_strong,1.3170538235094529e-05,6.215675621032715,6.261055588722229,0.8083165216445923,0.808910995721817,0.29123069286346437,0.28890396654605865,0.6750140404701233,0.6791870445013046,0.4777511191368103,0.48788565397262573,0.07685197472572326,0.07864119671285152,0.6178712701797485,0.6187373995780945,0.332359619140625,0.3349365293979645,0.05407070964574814,0.0545326042920351,0.05009863510727883,0.0494143832474947,0.16452035963535308,0.16329576075077057,0.02765788458287716,0.029428985435515642,0.00020025313133373857,0.00027219063849770464,0.0002780780364992097,0.00040669394365977496,0.13708925247192383,0.13881663605570793,0.011519414223730564,0.01139949937351048,0.003967328183352947,0.003926908946596086,0.0118048095703125,0.01146697998046875,0.22319284737110137,0.21776163950562477,0.0328662109375,0.0324554443359375,0.2771279764175415,0.27057014405727386,0.0281549072265625,0.02800750732421875
7,boundary_rescue_strong,1.2552611930803658e-05,6.213965034484863,6.260969400405884,0.8073117876052857,0.8104025721549988,0.2913175940513611,0.28874412178993225,0.6747874712944031,0.6798433512449265,0.4777676558494568,0.4870294779539108,0.07679054468870163,0.07884610816836357,0.61735595703125,0.6191037148237228,0.3323645043373108,0.3342563062906265,0.05402018025517464,0.054576306603848934,0.05019766166806221,0.04883232153952122,0.16498592793941497,0.16237983852624893,0.027617476508021356,0.02955781202763319,0.00019904438231606038,0.00026440776127856225,0.00027865253738127647,0.00039647850644541904,0.1375029444694519,0.13790195435285568,0.011551043093204498,0.01125127519480884,0.003967052707448602,0.003863608930259943,0.01182403564453125,0.011302947998046875,0.22298165977001191,0.21868659555912018,0.03287109375,0.0321502685546875,0.2770519280433655,0.27114056795835495,0.0282666015625,0.0277862548828125
8,boundary_rescue_strong,1.186683086610823e-05,6.214857082366944,6.26119065284729,0.8068995451927186,0.8084734231233597,0.2914133071899414,0.2891431748867035,0.6747872257232665,0.6803752034902573,0.47800161600112917,0.48658713698387146,0.07679107278585434,0.07897042483091354,0.6173967337608337,0.6186792701482773,0.3326236319541931,0.33453451097011566,0.05412054613232613,0.05457586236298084,0.050385523140430453,0.04928223788738251,0.16528528034687043,0.16337016969919205,0.027615973874926567,0.029462655540555716,0.0002027405163971707,0.0002702198507904541,0.0002777525718556717,0.00040581892244517803,0.13779347717761994,0.13880262151360512,0.011659328565001488,0.011341856559738517,0.004023706037551165,0.003931392333470285,0.01192108154296875,0.01143646240234375,0.22277782797813417,0.21906446665525436,0.032972412109375,0.0322113037109375,0.27676123023033145,0.2709719240665436,0.0283660888671875,0.02793121337890625
9,boundary_rescue_strong,1.1124010218064243e-05,6.214762859344482,6.2606576681137085,0.8071087574958802,0.8083198070526123,0.29143595933914185,0.28912027180194855,0.67475337266922,0.6799686551094055,0.47802631855010985,0.4868844449520111,0.0767516639828682,0.07890407182276249,0.6173228669166565,0.6198199093341827,0.33253270149230957,0.3328973352909088,0.054020796567201615,0.05463791731745005,0.05032204762101174,0.04956201929599047,0.1650965040922165,0.16344664990901947,0.02762217998504639,0.02930207969620824,0.00020211357914377004,0.0002829052900779061,0.00028024597908370196,0.00042529778147581965,0.1375911247730255,0.13887635618448257,0.01157362449914217,0.011457636253908277,0.0039845503680408,0.003952143364585936,0.011846923828125,0.011455535888671875,0.22282541215419768,0.21880467236042023,0.032835693359375,0.032222747802734375,0.27687869310379026,0.2724849507212639,0.0281884765625,0.027797698974609375
10,boundary_rescue_strong,1.0335864712030897e-05,6.214616489410401,6.2607773542404175,0.8074464178085328,0.807339146733284,0.2913854289054871,0.28916938602924347,0.6746041226387024,0.6790766417980194,0.4781201481819153,0.48810337483882904,0.07672764599323273,0.0785465631633997,0.6173839473724365,0.6185460090637207,0.33261879682540896,0.3354016840457916,0.054019001126289365,0.05444275215268135,0.05015394538640976,0.04988431930541992,0.16493196845054625,0.1641102209687233,0.027629271745681763,0.029257378540933132,0.00020003470359370113,0.0002810777077684179,0.00027463600563351067,0.000418397830799222,0.13742224335670472,0.13955790176987648,0.011517566591501237,0.011527241673320532,0.003952424032613635,0.0039553442620672286,0.01178009033203125,0.011524200439453125,0.222725026011467,0.21734993159770966,0.0328564453125,0.0323944091796875,0.2767392897605896,0.269993431866169,0.02826904296875,0.02797698974609375
