representation,model_name,n_clusters_requested,n_clusters_found,silhouette,davies_bouldin,calinski_harabasz,mean_dominant_purity,mean_scoliosis_rate,scoliosis_dominant_clusters,quality_score,bic,aic
standard_scaled,minibatch_kmeans,24,24,0.08767026662826538,2.1208182152263806,119.13014221191406,0.7670319802771163,0.7618807373900243,22,0.34966841120417436,,
robust_kpca_cosine,gmm_spherical,24,24,0.09414559602737427,2.0080037819593453,125.41889953613281,0.7464312276656959,0.7227295968861577,21,0.349406484143449,-15873.15945545983,-18330.181754894416
standard_kpca_linear,spectral_nn,24,24,0.06663569062948227,1.879357662734008,111.86176300048828,0.7749243729602681,0.7276119211023616,20,0.3492882931164928,,
standard_pca,spectral_nn,24,24,0.06663568317890167,1.8793578043034183,111.86174011230469,0.7749243729602681,0.7276119211023616,20,0.34928828549480995,,
robust_kpca_poly,bayesian_gmm_diag,24,24,0.05131009966135025,1.6308512993413995,145.30941772460938,0.7695250776455894,0.7615885697090815,22,0.3489733435003609,,
standard_kpca_sigmoid,minibatch_kmeans,24,24,0.09099467843770981,2.0588445322858306,118.37738037109375,0.75360179354812,0.7366694788174826,21,0.34875835140606815,,
robust_scaled,gmm_tied,24,24,0.08738316595554352,2.0664619465149054,107.23285675048828,0.7559483770628083,0.7452237393816489,22,0.34763411940437755,68622.41181520336,64557.778637716445
minmax_kpca_sigmoid,bayesian_gmm_diag,24,21,0.05081888660788536,1.9359427987011648,112.37281036376953,0.7973198634591343,0.7371363554734286,17,0.3472159807557365,,
standard_kpca_linear,gmm_spherical,24,24,0.07364283502101898,1.9024751647013591,123.29442596435547,0.7580997197011143,0.7471799224441078,22,0.34670257294395196,91008.1579897313,88551.13569029672
standard_pca,gmm_spherical,24,24,0.07364282757043839,1.9024751387992715,123.29443359375,0.7580997197011143,0.7471799224441078,22,0.34670257035985685,91008.15538489204,88551.13308545746
standard_kpca_sigmoid,gmm_spherical,24,24,0.07517705857753754,1.950675397951968,119.85592651367188,0.7603153983320502,0.7462063304817014,22,0.346650660600787,-102522.49121116207,-104979.51351059665
minmax_kpca_sigmoid,bayesian_gmm_full,24,24,0.06817662715911865,2.1100592880155906,110.3509750366211,0.7842815064108581,0.7247068218361736,21,0.34634825381470075,,
robust_kpca_rbf,bayesian_gmm_full,24,24,0.0860157385468483,1.9233723092490997,127.9765625,0.7379910188686104,0.7233108235805502,21,0.345622061964593,,
minmax_kpca_poly,gmm_tied,24,24,0.06452833861112595,2.074588924195432,111.87785339355469,0.783724643131011,0.783724643131011,24,0.3454668283274857,-101344.62830881134,-104440.13436123125
standard_kpca_rbf,gmm_full,24,24,0.09053053706884384,2.076611044807909,119.42996978759766,0.7442027827722265,0.6990260515361957,20,0.3452578169463548,-57819.314733283536,-78746.75988693634
minmax_kpca_sigmoid,gmm_tied,24,24,0.07856961339712143,2.072037846783967,116.47071075439453,0.7614619893107945,0.7526236054724107,22,0.345174128570244,-240140.94964249356,-243236.45569491346
standard_kpca_cosine,minibatch_kmeans,24,24,0.09285271167755127,2.1131072882105846,118.90657806396484,0.7403155742106223,0.7259074745221487,23,0.3441840090147459,,
minmax_scaled,gmm_tied,24,24,0.06386558711528778,2.140067561690558,106.067626953125,0.7859747672899459,0.7859747672899459,24,0.34414806572652146,-85606.6467360445,-89671.27991353141
robust_kpca_poly,gmm_diag,24,24,0.04817630723118782,1.7983917391345698,136.9866485595703,0.7752505072358572,0.7586496300428749,22,0.34359151801239984,9191.81496345868,4682.523457999849
