patient_key,heatmap_mse,heatmap_mae,heatmap_soft_dice,heatmap_corr,target_mask_pixels,pred_mask_fixed_pixels,dice_fixed_thresh,iou_fixed_thresh,dice_topk_same_area,iou_topk_same_area
N_1,0.09077414870262146,0.2967406213283539,0.044242095202207565,-0.2646845122871773,3509,0,2.849814762032346e-12,2.849814762032346e-12,0.049476957875248126,0.02536599507316225
N_10,0.09745559841394424,0.30728450417518616,0.04402356967329979,-0.3606113497243156,3288,0,3.0413625304043758e-12,3.0413625304043758e-12,0.03377563329458116,0.017177914111936844
N_11,0.09246693551540375,0.29895588755607605,0.04674359783530235,-0.22192613754041363,3301,0,3.029385034828751e-12,3.029385034828751e-12,0.059822636406042656,0.03083359157262034
N_12,0.09380146116018295,0.30099350214004517,0.045418210327625275,-0.16612311115081033,3156,0,3.1685678073410377e-12,3.1685678073410377e-12,0.10506329114065655,0.055444221778464524
N_13,0.09373380243778229,0.3005710244178772,0.04642695188522339,-0.2153437150962797,3295,0,3.034901365696404e-12,3.034901365696404e-12,0.10863677400073934,0.05743834526800726
N_14,0.096669040620327,0.30581170320510864,0.04484563693404198,-0.17057714066348115,3077,0,3.2499187520206375e-12,3.2499187520206375e-12,0.1715678310330275,0.09383330371584533
N_15,0.09551343321800232,0.3036061227321625,0.05005236715078354,-0.2598578192924238,3668,0,2.7262813522281184e-12,2.7262813522281184e-12,0.13367819221462882,0.07162654996488457
N_16,0.09896451234817505,0.3102755844593048,0.04476308822631836,-0.3080854215973446,3201,0,3.124023742570684e-12,3.124023742570684e-12,0.05400429579770788,0.02775149795170648
N_17,0.09771500527858734,0.3078244626522064,0.04727257788181305,-0.23010168479405882,3394,0,2.946375957563505e-12,2.946375957563505e-12,0.13918660989702072,0.07479880069579486
N_18,0.09971664100885391,0.3098647892475128,0.05235932767391205,-0.26990665645079087,3681,0,2.7166530833938697e-12,2.7166530833938697e-12,0.09519934906550692,0.04997864160750395
N_19,0.09807450324296951,0.3085451126098633,0.042870283126831055,-0.34299379340919134,3363,0,2.9735355337407865e-12,2.9735355337407865e-12,0.0901192755130465,0.047185813417043664
N_2,0.0976690948009491,0.3074952960014343,0.04883379489183426,-0.26260811380396687,3495,0,2.8612303290333013e-12,2.8612303290333013e-12,0.10316329438714283,0.05438701923218993
N_20,0.09823866188526154,0.3086763620376587,0.04662404581904411,-0.24510444816478716,3319,0,3.0129557095419917e-12,3.0129557095419917e-12,0.13439567047634637,0.07203867848658818
N_21,0.09983885288238525,0.3111587166786194,0.04177279770374298,-0.35006246079368014,3042,0,3.2873109796078656e-12,3.2873109796078656e-12,0.08198065256749962,0.042742349121144226
N_22,0.0931597650051117,0.29946550726890564,0.049549397081136703,-0.22397641203959134,3489,0,2.8661507595217365e-12,2.8661507595217365e-12,0.10720411663935506,0.0566379700965766
N_23,0.09872058033943176,0.3094928562641144,0.04197338595986366,-0.3364094405230881,3151,0,3.1735956838997982e-12,3.1735956838997982e-12,0.08151062155927379,0.042486876641990676
