comparison,n_patients,mae_px_mean,mae_px_median,rmse_px_mean,p95_abs_px_mean,max_abs_px_mean,signed_mean_px_mean,mae_width_pct_mean,hausdorff_px_mean,chamfer_px_mean,length_diff_pct_mean,curvature_mae_mean,corr_x_mean
csv_vs_pred,249,47.17104826636814,32.53667226518903,50.09556684563407,66.75674839172974,69.02330336513289,-8.103445717235127,18.426190729050056,104.2947617802754,48.05246302593185,47.597544271397176,0.14876913665288902,0.39578956828577033
csv_vs_target,248,43.751862249407644,27.31957519215412,46.06918186456605,60.59393178839837,61.782339972834436,-9.259165044754635,17.090571191174863,69.28522498953727,40.65854348771034,-0.2784237900937009,0.09057627986710999,0.5699087446505905
target_vs_pred,249,13.114650735617788,12.18325441148546,15.783356957721564,29.68538889367896,32.09124461714044,0.4342598592043915,5.1229104436006985,63.15749089497639,15.27344456350947,49.11919902991272,0.1192390013590874,0.5464717235700409
