index,count,mean,std,min,25%,50%,75%,max
heatmap_mse,249.0,0.07629344133607834,0.012269524949168048,0.05595259368419647,0.06669443100690842,0.07288458943367004,0.08329901099205017,0.11557129770517349
heatmap_mae,249.0,0.2558706944965454,0.014686737764197329,0.22635914385318756,0.2453010380268097,0.25297611951828003,0.2653076648712158,0.30145907402038574
heatmap_soft_dice,249.0,0.08697605918509414,0.014632032777055928,0.039945878088474274,0.0784354880452156,0.088112473487854,0.09562132507562637,0.12922023236751556
heatmap_corr,249.0,0.405144387233905,0.09039009378057157,0.15623056490969087,0.34982905431207584,0.402676278240937,0.474268261443775,0.6233016495730792
target_mask_pixels,249.0,3262.895582329317,549.8542669284633,1819.0,2900.0,3265.0,3542.0,5110.0
pred_mask_fixed_pixels,249.0,5033.947791164659,2520.3196852406704,641.0,2840.0,4705.0,6811.0,11915.0
dice_fixed_thresh,249.0,0.4044118210199908,0.09881327527097737,0.14630006789011152,0.33895430993938863,0.4024780588545147,0.47225909211644246,0.6488964346355707
iou_fixed_thresh,249.0,0.2582781753157205,0.07845198137759908,0.07892327412730467,0.20406079854899717,0.2519389865573268,0.3091225021732248,0.48027142498245723
dice_topk_same_area,249.0,0.3666976305093998,0.1263595686965179,0.012991452993140185,0.2649365464148511,0.34689555233603064,0.4682593856662549,0.6574870912225222
iou_topk_same_area,249.0,0.23203940856219982,0.09801071169553362,0.006538196835845599,0.15269559500468,0.20984490896937308,0.30570409982298447,0.48974358974468
